Ries,b,n: fuller rich nose; full vanilla caramels vanilla wafers dried red fruit and milk chocolate bar. t: quite malty with a nice density to this. Doesn't stray too far from young sherry cask influence and vanilla oak char. Has an all-spice and dried figs & strawberry middle that gets even dryer in the brown sugar and vanilla caramel finish. End is a dark chocolate covered raisins. This is a nice everyday sipper; barely semi-sweet but a great value. [B solid] ,Aberlour 12 Year Old Non Chill-filtered,Aberlour,12 yrs,Scotch,N/A,Single Malt,48.00,Speyside,50,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3365/Aberlour-12-Year-Old-Non-Chill-filtered
Andy,bminus,n:  Gym socks across the room p:  Wierd.  Great mouthfeel.  Sweet and musty.  Tweed finish. ,Aberlour 12 Year Old Non Chill-filtered,Aberlour,12 yrs,Scotch,N/A,Single Malt,48.00,Speyside,50,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3365/Aberlour-12-Year-Old-Non-Chill-filtered
Andy,bplus,p: Candied plums and mint.  The batches are of course very similar.  I'd put this one in the top 25.  Good batch. ,Aberlour A'bunadh Batch 46,OB,N/A,Scotch,N/A,Single Malt,60.40,Highland,65,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3692/Aberlour-Abunadh-Batch-46
Fuji,bminus,Semi sweet chocolate and red berries.  I get more sherry aspects on the palate alongside nutty notes.,Aberlour A'bunadh Batch 46,OB,N/A,Scotch,N/A,Single Malt,60.40,Highland,65,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3692/Aberlour-Abunadh-Batch-46
Fuji,b,N: Ceral oats christmas cinnamon raisin raspberry and sour plumP: Sweet yet tangy sherry fruitF: Lingering sour cherry There are flashes of tired sherry notes on the nose and finish.  But it doesnt detract from the enjoyment. ,Aberlour A'bunadh Batch 47,OB,N/A,Scotch,N/A,Single Malt,60.70,Speyside,65,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3180/Aberlour-Abunadh-Batch-47
Andy,b,n:  Cherry Kirsch in a metal thermos. p:  Dipping a cedar rod in sherry and sucking out the juice.  A bit heavier on the black pepper and light on the sweetness than usual but still a solid sherry bomb as usual.,Aberlour A'bunadh Batch 47,OB,N/A,Scotch,N/A,Single Malt,60.70,Speyside,65,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3180/Aberlour-Abunadh-Batch-47
Andy,b,n:  Plum pie whipped cream p:  Hot and Christmas spicy.   Semi-sweet and finish goes a bit fast as compared to other A'bunadhs.  Add a little water to this one. Nicer mouthfeel with the water.  All in all not bad but I'd choose other batches over this. ,Aberlour A'bunadh Batch 50,OB,N/A,Scotch,N/A,Single Malt,59.60,Highland,65,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3711/Aberlour-Abunadh-Batch-50
Ries,b,Typical nose of this release with more tobacco leaf and a good amount of Tahitian vanilla. Inviting aroma.    Typical dark chocolate and raspberry jam with a middle that's dry and not very sweet/fruity. The finish is rather nice with black cherry cordials and the dry tobacco. Enjoyable robust whisky but not as full-flavoured and fruity as previous releases.  [B/B-],Aberlour A'bunadh Batch 50,OB,N/A,Scotch,N/A,Single Malt,59.60,Highland,65,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3711/Aberlour-Abunadh-Batch-50
Andy,b,n:  Toasted oats and rose petals p:  Cheerios.  Hint of varnish.  Light and quaffable. ,Amrut Rye,OB,5 yrs,World,N/A,Indian,50.00,,180,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/4034/Amrut-Rye
Sku,cminus,Nose: Grainy with vanilla notes.Palate: Raw and grainy much like an American craft whiskey some malty notes.Finish: young light grain whiskey. This stuff is pretty bad. ,Amrut Rye,OB,5 yrs,World,N/A,Indian,50.00,,180,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/4034/Amrut-Rye
Andy,c,n:  Bland and blendy.  Mostly just alkeehol. p:  Faint peaches and alcohol.  Really not a lot of cask activity on this.  Imagine a decent blend.,anCnoc 16,OB,16 yrs,Scotch,N/A,Single Malt,46.00,Highland,70,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3332/anCnoc-16
Fuji,cminus,Fresh green apple and melted butter. Neutral on the palate with some fruit sweetness on the short finish. ,anCnoc 16,OB,16 yrs,Scotch,N/A,Single Malt,46.00,Highland,70,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3332/anCnoc-16
Andy,cplus,n:  Caramel.  Makeup. p:  Short of a bland and bitter sherry.  Toffey.  This one needs to be sweeter.  ,Archives Speyside Blended Malt,Whiskybase,N/A,Scotch,2001,Vatted Malt,44.70,Speyside,70,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3640/Archives-Speyside-Blended-Malt
Andy,b,n:  Great.  Fresh asphalt p:  Quick smack of ashes then flashes out.  Mt. St. Helen's in 1.5 seconds.  Woodfinish finish takes over from there.  Fun and focused. B/B+ ,Ardbeg 1992 Sovereign (for k&l),Sovereign,21 yrs,Scotch,1992,Single Malt,49.60,Islay,350,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3287/Ardbeg-1992-Sovereign-(for-k-and-l)
Fuji,bminus,N: Coastal salty notes mixed with fatty charred meats and peat. Citrus squeezed over oysters and lingering ash. P: Slow start with peat and oil attacking toward mid palate. Medium finish with white pepper and smoke. Aggressively full flavored peat but it doesn't have much depth. ,Ardbeg 1992 Sovereign (for k&l),Sovereign,21 yrs,Scotch,1992,Single Malt,49.60,Islay,350,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3287/Ardbeg-1992-Sovereign-(for-k-and-l)
Andy,bplus,n:  30% Gallileo 70% Ardbog.  You get that decaying wood funk with just a bit of dried apricots  p:  Thin mouthfeel.  Gunpowder and wintergreen.  Really sticks in the finish. B/B+ ,Ardbeg Dark Cove,OB,N/A,Scotch,N/A,Single Malt,46.50,Islay,120,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3810/Ardbeg-Dark-Cove
Ries,bminus,n: great! Salt smoke dark fruit full of salted plums (like ume) with a white frosting sweetness. Very maritime and briney. t: salt dill brine with some typical Ardbeg pitch tar & BBQ but thin in the mouthfeel and fades to smoked paper. It's very light and I am surprised that this is 46%; feels like less than 40% at best. Match smoke light cream and movie popcorn butter. Fruity vanilla and apricots with a slight dusting of cocoa in middle. Floral and soft sweetness in a new leather finish.  [B-/C+],Ardbeg Kildalton 2014 Release,Ardbeg,NAS yrs,Scotch,2014,Single Malt,46.00,Islay,205,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3292/Ardbeg-Kildalton-2014-Release
Andy,b,n:  nice and briney.  saltwater taffey.  Very maritime. p:  Less sweet and intense than the nose suggests.  White pepper and salt in a very straightforward way. ,Ardbeg Kildalton 2014 Release,Ardbeg,NAS yrs,Scotch,2014,Single Malt,46.00,Islay,205,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3292/Ardbeg-Kildalton-2014-Release
Ries,b,n: very vanilla and oaky. Full of sea brine and a weird mix of pickled meat and spice. This is subdued and pleasant with a hint of red fruit and toffee. t: follows nose with the briney/pickle quality. Has a burnt pumpernickle toast quality with lots of butter that is nice but the mouthfeel is thin. BBQ meat scalded strawberries and some sea salt in middle. Finish is burnt paper smoke hint of green citrus and vanilla coffee creamer. This isn't a knock-out punch but it is nicely balanced between the fruity side and a young vanilla profile.  [B/B-] ,Ardbeg Perpetuum,Ardbeg,N/A,Scotch,2015,Single Malt,47.40,Islay,100,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3510/Ardbeg-Perpetuum
Andy,b,n:  Caramel cubes and a whiff of sulpher p:  Dry and briney.   Lemon pepper salt.  Not too complex.  Strong but dull. ,Ardbeg Perpetuum,Ardbeg,N/A,Scotch,2015,Single Malt,47.40,Islay,100,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3510/Ardbeg-Perpetuum
Fuji,cplus,N: Spicy and sooty. White cracked peppercorn cinnamon clove hot Tarmac wet earth rusty metal and sour citrus. P: Less aggressive palate. Smoke BBQ meats cured jamon seaweed and salt water.   Dry mouthfeel with short lime peel finish. All over the place. Tastes like it was finished in funky wine casks. ,Ardbeg Perpetuum,Ardbeg,N/A,Scotch,2015,Single Malt,47.40,Islay,100,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3510/Ardbeg-Perpetuum
Andy,cplus,n:  Molten plastic.  Enjoyable toxins. p:  Generic peat.  Unsweet tar and ash.  Doesn't really escape to anything more complex. C+/B- ,Ardmore 2000 Villa Konthor,Villa Konthor,14 yrs,Scotch,2000,Single Malt,51.90,Speyside,70,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3701/Ardmore-2000-Villa-Konthor
Andy,cplus,n:  Lemon rinds and moldy oranges p:  Tad hot.  Citrus and tweed.  With water it's just bitter citrus like a juice gone stale,Arran 1996 Blackadder Raw Cask (Lochranza),Blackadder,17 yrs,Scotch,1996,Single Malt,55.50,Island,170,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3300/Arran-1996-Blackadder-Raw-Cask-(Lochranza)
Andy,bplus,n:  Lemon and vegetable oil p:  Bold and spicy.  Hot in both the feel and the flavor.  Thai chili on top of semi-sweet sherry.  Not too much in complexity but quite successful at get attention and a smile. B/B+  ,Arran 2000 for K&L,OB,15 yrs,Scotch,2000,Single Malt,56.80,Island,130,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3788/Arran-2000-for-K-and-L
Andy,c,n:  Citrus p:  Bitter oranges.  Thin.  Hint of toffee.  Sort of a base model starter single malt. I'd call it a decent blend.  Forgettable.  C/C+ ,Arran Lochranza Reserve,OB,N/A,Scotch,N/A,Single Malt,43.00,Arran,45,Overseas Wide,http://www.lawhiskeysociety.com/whiskey-profile/3686/Arran-Lochranza-Reserve
Andy,cplus,n:  Coconut cake p:  Coconut and white paper.  Thin and vaporous.  Classic grain whisky.     ,Bain's Cape Mountain Whisky,OB,N/A,World,N/A,Other,43.00,South Africa,30,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3855/Bains-Cape-Mountain-Whisky
Andy,cplus,n:  Raw wood and a slice of lemon. p:  Thin mouthfeel.  Lemony.  Actually the nose is very in line with the palate.   Hint of white pepper takes over toward the finish. Pretty easy to forget. ,Balblair 2001,OB,N/A,Scotch,2001,Single Malt,46.00,Highland,60,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3335/Balblair-2001
Fuji,cminus,N: Sweet oak and toffee. A bit winey and toasty.  P: Tastes Funky and weird almost metallic and rusty. Lemon finish. ,Balblair 2001,OB,N/A,Scotch,2001,Single Malt,46.00,Highland,60,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3335/Balblair-2001
Andy,bplus,n:  Glazed nuts.  Good. p:  Walnuts.  Sweet and velvety with a potpourri finish. ,Balcones 5th Anniversary Single Barrel,OB,N/A,American,N/A,Bourbon,64.20,Texas,95,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3283/Balcones-5th-Anniversary-Single-Barrel
Andy,b,n:  Very medicinal.  Band-aidy p:  Sweet and ashy. Vegetable oil.  Not an Islay but just as peaty in it's own way.  Perhaps watered down just a tad much. ,Ballechin 2004 The Ultimate,The Ultimate Whisky Co,11 yrs,Scotch,2004,Single Malt,46.00,Highland,65,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3675/Ballechin-2004-The-Ultimate
Andy,bplus,n:  Oats in a bucket p:  Black pepper in steak juice.  Great finish. B+/A- ,Balmenach 1988 Signatory (for K&L),Signatory,25 yrs,Scotch,1988,Single Malt,56.00,Speyside,130,Collectors Only,http://www.lawhiskeysociety.com/whiskey-profile/3612/Balmenach-1988-Signatory-(for-K-and-L)
Andy,b,n:  Polyeurethane and simple syrup p:  Seasoned wood lemon.  Bitter and a bit hot.  Full flavored but only in an average way. B-/B ,Balvenie 15 Single Barrel Cask 11161,OB,15 yrs,Scotch,1997,Single Malt,47.80,Speyside,100,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3723/Balvenie-15-Single-Barrel-Cask-11161
Andy,b,Cask 16271 reviewed n:  Olive oil with small sprinkles of potpourri. p:  Thick oily mouthfeel.  Unsweetened butterscotch with a hint of spiced cedar.  Finish isn't top notch but it does stick around. An easy sipper with character. ,Balvenie 15 Single Barrel Sherry,OB,15 yrs,Scotch,N/A,Single Malt,47.80,Speyside,95,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3258/Balvenie-15-Single-Barrel-Sherry
Ries,bplus,n: malt black cherries and chocolate syrup. A lot of warm butterscotch and candied almonds. t: nice sherry quality; raspberry jam and cocoa with oak. Nice density to this for the mouthfeel. Middle is all vanilla cream burnt butter and black cherry juice. Short finish of oak and light strawberries. This would make a nice gift.,Balvenie 15 Single Barrel Sherry,OB,15 yrs,Scotch,N/A,Single Malt,47.80,Speyside,95,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3258/Balvenie-15-Single-Barrel-Sherry
Fuji,bminus,N: Graham cracker caramelized carrots sweet white wine and salted butter on toasted white bread. P: Alot of white and green fruit that is tangy and tart.  Dries out mid-palate with sour dough and white pepper and corn.  Short waxy finish. Generous B- ,Balvenie Tun 1509 Batch 2,OB,N/A,Scotch,N/A,Single Malt,50.30,Speyside,350,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3665/Balvenie-Tun-1509-Batch-2
Andy,b,n:  Vanilla cream and wood planks p:  Nutmeg and spanish cedar.  Goes woody toward the finish.,Balvenie Tun 1509 Batch 2,OB,N/A,Scotch,N/A,Single Malt,50.30,Speyside,350,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3665/Balvenie-Tun-1509-Batch-2
Andy,bplus,p:  Lot of vanilla cream and leather.  Nice velvety and oily mouthfeel that is its best characteristic.  Hints of mint.  This is solid whiskey.,Barrell Whiskey Batch 002, ,9 yrs,American,N/A,Bourbon,61.90,Indiana,60,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/4094/Barrell-Whiskey-Batch-002
Andy,cplus,n:  Moldy citrus p:  musty and dull.  Toffee.  Glenrothesy.  Not in any way offensive. Or interesting. C/C+ ,Ben Nevis 1995 Montgomerie's Rare Select,Montgomerie and Co.,18 yrs,Scotch,1995,Single Malt,46.00,Highland,80,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3919/Ben-Nevis-1995-Montgomeries-Rare-Select
Andy,bplus,n:  Apple pie heavy on the crust p: Spearmint and champagne grapes at first then heads toward fabric or tweed in a fun transition where the flavor intensifies before it proceeds to a solid finish.,Ben Nevis 1996 Whisky-Fassle,Whisky-Fassle,19 yrs,Scotch,N/A,Single Malt,50.10,Highland,80,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3733/Ben-Nevis-1996-Whisky-Fassle
Andy,bminus,n:  Dank wood and cinnamon. p:   Sour peat.  Earthy with a hint of cedar.  It's got a sharp flavor that fades fast. B-/B ,Benriach 17 Septendecim,OB,17 yrs,Scotch,N/A,Single Malt,46.00,Speyside,80,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3676/Benriach-17-Septendecim
Fuji,c,Motor oil BBQ briquette heavy peat iodine and new band aids.  Matchsticks. Intense peat and smoked meats but surprisingly boring and forgettable. ,Benriach 17 Septendecim,OB,17 yrs,Scotch,N/A,Single Malt,46.00,Speyside,80,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3676/Benriach-17-Septendecim
Andy,bplus,n:  Gorgeous.  Mulling spices. p:  Salted caramel.  Champagne grapes.  Wintergreen.  Fun and complex although the finish loses out fast. B+/A- ,Benriach 1979 Adelphi,Adelphi,32 yrs,Scotch,1979,Single Malt,48.40,Speyside,300,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3808/Benriach-1979-Adelphi
Sku,bminus,The nose has heavy sharp peat. The palate has sweet peat notes and then gets a bit sour.  It has a great peaty finish on the nose.  This is very BenRiach with its sharp peat notes.  It's a bit one note as the peated BenRiachs tend to be but it's quite decent.,BenRiach 1994 (K&L),OB,19 yrs,Scotch,1994,Single Malt,53.00,Speyside,110,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3574/BenRiach-1994-(K-and-L)
Andy,b,N:   kilcholmanny.  Red hots.  Orange slice candy. P:   cinnamon sticks.  Very cinnamon really. Bit of tar and prunes.  B/B+,BenRiach 1994 (K&L),OB,19 yrs,Scotch,1994,Single Malt,53.00,Speyside,110,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3574/BenRiach-1994-(K-and-L)
Fuji,cplus,N: Diesel iodine pretzel chip fresh cut lumber and damp woodP: Strong peat and BBQ notes initially followed by alot of soapF: Pear apple and smoke on the finish The soap on this ruins an otherwise pleasant malt. ,BenRiach 1994 (K&L),OB,19 yrs,Scotch,1994,Single Malt,53.00,Speyside,110,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3574/BenRiach-1994-(K-and-L)
Ries,cplus,n: charred cherry fruit roll ups vegetal earthy peat Vanilla Coke-nice peat to this with a red jam nose and hint of cinnamon.    t: damp earth and over ripe berries. Balsa wood and damp char.  Sour brine with a bit of bar soap in finish. Mostly peat with a bit of burnt red berry.,BenRiach 1994 (K&L),OB,19 yrs,Scotch,1994,Single Malt,53.00,Speyside,110,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3574/BenRiach-1994-(K-and-L)
Andy,bplus,n:  Caramel candies in an antique wood.  Dried cranberries. p:  Cedar sawdust.  Chewy and full flavored.  Raisins and toffee.  Less sweet than the nose suggest.  The strength on the finish fades fast but the last bit lasts for well longer than it took to write this review. Not overwhelming by any means but certainly enjoyable. ,Benriach 35,OB,35 yrs,Scotch,N/A,Single Malt,42.50,Speyside,650,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3797/Benriach-35
Andy,b,n: honey and lemon p:  waxy bitter orange wedge candy    ,Benrinnes 15yr Flora & Fauna,OB,15 yrs,Scotch,N/A,Single Malt,43.00,Speyside,50,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3926/Benrinnes-15yr-Flora-and-Fauna
Andy,cplus,n: Cheerios and cardboard. p:  Neutral and bitter.  Burnt toffee.  Meh. C+/B- ,Black Bull 21,Duncan Taylor,21 yrs,Scotch,N/A,Blend,50.00,,150,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3364/Black-Bull-21
Fuji,cplus,Semi sweet vanilla with fruit (apple and pear),Black Bull 21,Duncan Taylor,21 yrs,Scotch,N/A,Blend,50.00,,150,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3364/Black-Bull-21
Andy,b,n:  hints of apple peels and light plastic. p:  Sweet with dark fruits and nuts.  Perhaps a very good fruitcake albeit light on the spices. Safely comparable to other 15yr sherries at least in the quality of the spirit itself.,Bladnoch Adela, ,15 yrs,Scotch,N/A,Single Malt,46.70,Lowland,120,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/4086/Bladnoch-Adela
Andy,bplus,n:  Fresh fruitcake topped with mint p:   Cherry limeade.  Damp pine.   Very chewy with a great finish. B+/A-   I have a feeling that this one will get better once it has been opened for a while. ,Blair Athol 1988 Signatory for K&L 26yr,Signatory,26 yrs,Scotch,1988,Single Malt,54.30,Highland,180,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3781/Blair-Athol-1988-Signatory-for-K-and-L-26yr
Ries,bplus,n: burnt dark vanilla bean tiramisu with dried cherries orange furniture wax. Dried peach + vanilla wafers. t: follows nose but with a peculiar grilled peach flavour and mint chewing gum. Part of me really likes this part of me is perplexed (interesting combination of flavours). Middle is dusty oak apricots and black tea. Nice older style sherry with an earthy dry finish. Juicy prunes - nice and savoury whisky.,Blair Athol 1988 Signatory for K&L 26yr,Signatory,26 yrs,Scotch,1988,Single Malt,54.30,Highland,180,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3781/Blair-Athol-1988-Signatory-for-K-and-L-26yr
Fuji,c,Smells of bad sherry casks cigarette ash and rusty tin metal. Sour pomegranate and cherry flavored cough medicine. Funky sour stuff. Stale sherry and musty stuff,Blair Athol 1988 Signatory for K&L 26yr,Signatory,26 yrs,Scotch,1988,Single Malt,54.30,Highland,180,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3781/Blair-Athol-1988-Signatory-for-K-and-L-26yr
Chris,bminus,N: Apricots Christmas cake (yum and I swear I did not read Andy's review first) and then damp musty wood (meh and I swear I didn't read Fuji's).P: Wood dominates the palate masking some fruity notes which try to to break through.F: Dry popsicle stick.I had high hopes based on the first whiffs but this cask contributed too much tanin and not enough sugar.   ,Blair Athol 1988 Signatory for K&L 26yr,Signatory,26 yrs,Scotch,1988,Single Malt,54.30,Highland,180,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3781/Blair-Athol-1988-Signatory-for-K-and-L-26yr
Andy,b,n:  toffee lemons and rubbing alcohol. p:  toffee and almonds or some other blander nut.   Perhap a hint of dark fruit if you search for it.  This is just traditional scotch done decently.,Blair Athol 1995 Old Malt Cask,Hunter Laing,20 yrs,Scotch,1995,Single Malt,50.00,Highland,120,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3798/Blair-Athol-1995-Old-Malt-Cask
