whiskey,url,age,bottler,price,average_rating,personal_rating
Highland Park 1988 Signatory Cask Strength,http://www.lawhiskeysociety.com/whiskey-profile/3508/Highland-Park-1988-Signatory-Cask-Strength,25 yrs,Signatory,$250 ,B,C+
Highland Park 2000 Van Wees The Ultimate,http://www.lawhiskeysociety.com/whiskey-profile/3613/Highland-Park-2000-Van-Wees-The-Ultimate,14 yrs,Van Wees,$70 ,B,B
Highland Park 8yr MacPhail's Collection (New Label),http://www.lawhiskeysociety.com/whiskey-profile/3539/Highland-Park-8yr-MacPhails-Collection-(New-Label),8 yrs,Gordon & MacPhail,$45 ,C+,B-
Inchgower 1990 Maltbarn,http://www.lawhiskeysociety.com/whiskey-profile/3684/Inchgower-1990-Maltbarn,24 yrs,Maltbarn,$120 ,B-,C
Inchgower 1995 Hepburn's Choice for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3787/Inchgower-1995-Hepburns-Choice-for-K-and-L,20 yrs,Langside Distillers,$100 ,B+,B+
Island 2005 Exclusive Malts,http://www.lawhiskeysociety.com/whiskey-profile/3314/Island-2005-Exclusive-Malts,7 yrs,The Creative Whisky Co.,$60 ,B+,B+
Isle of Arran - The Devil's Punch Bowl III,http://www.lawhiskeysociety.com/whiskey-profile/3509/Isle-of-Arran---The-Devils-Punch-Bowl-III,N/A,OB,$125 ,B-,B-
Isle of Skye 12,http://www.lawhiskeysociety.com/whiskey-profile/3757/Isle-of-Skye-12,12 yrs,Ian MacLeod and Co. Ltd.,$30 ,C+,C+
Iwai Tradition,http://www.lawhiskeysociety.com/whiskey-profile/3846/Iwai-Tradition,N/A,Hombo Shuzo Co,$65 ,C+,C-
Jack Daniel's Sinatra Select,http://www.lawhiskeysociety.com/whiskey-profile/3869/Jack-Daniels-Sinatra-Select,N/A,OB,$160 ,B,B
Jack Daniel's Single Barrel - Barrel Proof 15-4972,http://www.lawhiskeysociety.com/whiskey-profile/3877/Jack-Daniels-Single-Barrel---Barrel-Proof-15-4972--,N/A,OB,$65 ,A-,A-
Johnnie Walker Blue Label CS,http://www.lawhiskeysociety.com/whiskey-profile/4047/Johnnie-Walker-Blue-Label-CS,N/A,N/A,$300 ,B+,B+
Johnnie Walker Gold Label Reserve,http://www.lawhiskeysociety.com/whiskey-profile/3358/Johnnie-Walker-Gold-Label-Reserve,N/A,N/A,$70 ,C-,C-
Johnnie Walker Odyssey,http://www.lawhiskeysociety.com/whiskey-profile/3263/Johnnie-Walker-Odyssey,N/A,N/A,$750 ,C+,C+
Jura 1989 Signatory Vintage (for Stoller),http://www.lawhiskeysociety.com/whiskey-profile/3540/Jura-1989-Signatory-Vintage-(for-Stoller),23 yrs,Signatory,$120 ,C+,B-
Jura 2000 Carn Mor,http://www.lawhiskeysociety.com/whiskey-profile/3700/Jura-2000-Carn-Mor,14 yrs,Morrison & MacKay Whisky Merchants,$75 ,B,B
Kavalan Peaty Cask for LMDW,http://www.lawhiskeysociety.com/whiskey-profile/4055/Kavalan-Peaty-Cask-for-LMDW,N/A,OB,$200 ,B,B
Kavalan Sherry Oak,http://www.lawhiskeysociety.com/whiskey-profile/3517/Kavalan-Sherry-Oak,NAS yrs,OB,$120 ,B,B
Kavalan Solist Brandy Cask for LMDW,http://www.lawhiskeysociety.com/whiskey-profile/4054/Kavalan-Solist-Brandy-Cask-for-LMDW,N/A,OB,$200 ,B-,B-
Kilchoman Cask 74/2008 for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3756/Kilchoman-Cask-74-2008-for-K-and-L,4 yrs,OB,$100 ,B,B
Kilkerran Sherry Wood,http://www.lawhiskeysociety.com/whiskey-profile/3722/Kilkerran-Sherry-Wood,N/A,OB,$50 ,B-,B
La Alazana Patagonian,http://www.lawhiskeysociety.com/whiskey-profile/3881/La-Alazana-Patagonian,N/A,OB,$150 ,B,B
Lagavulin 12 Limited Edition 2014,http://www.lawhiskeysociety.com/whiskey-profile/3789/Lagavulin-12-Limited-Edition-2014,12 yrs,OB,$120 ,B,B
Lammerlaw,http://www.lawhiskeysociety.com/whiskey-profile/3861/Lammerlaw,10 yrs,N/A,$40 ,B-,B-
Langatun Old Bear Peated,http://www.lawhiskeysociety.com/whiskey-profile/3935/Langatun-Old-Bear-Peated,6 yrs,OB,$65 ,C+,C+
Laphroaig 10 Cask Strength Batch 006,http://www.lawhiskeysociety.com/whiskey-profile/3387/Laphroaig-10-Cask-Strength-Batch-006,10 yrs,OB,$70 ,B+,B+
Laphroaig 16 for TWE,http://www.lawhiskeysociety.com/whiskey-profile/3864/Laphroaig-16-for-TWE,16 yrs,OB,$180 ,B+,B+
Laphroaig 1997 Old Particular,http://www.lawhiskeysociety.com/whiskey-profile/3401/Laphroaig-1997-Old-Particular,16 yrs,Douglas Laing,$140 ,B,B
Laphroaig 1998 15 yo Signatory (K&L),http://www.lawhiskeysociety.com/whiskey-profile/3576/Laphroaig-1998-15-yo-Signatory-(K-and-L),15 yrs,Signatory,$127 ,B,B+
Laphroaig 1998 16 yo Signatory (The Whisky Exchange),http://www.lawhiskeysociety.com/whiskey-profile/3531/Laphroaig-1998-16-yo-Signatory-(The-Whisky-Exchange),16 yrs,Signatory,$160 ,B+,B+
Laphroaig 1998 Archives,http://www.lawhiskeysociety.com/whiskey-profile/3361/Laphroaig-1998-Archives,13 yrs,Archives,$90 ,B,B
Laphroaig Cairdeas 2014,http://www.lawhiskeysociety.com/whiskey-profile/3257/Laphroaig-Cairdeas-2014,N/A,OB,$80 ,B,B+
Laphroaig Cairdeas 2015 200th Anniversary Edition,http://www.lawhiskeysociety.com/whiskey-profile/3597/Laphroaig-Cairdeas-2015-200th-Anniversary-Edition,NAS yrs,OB,$85 ,B+,B+
Laphroaig Cairdeas Madeira Edition 2016,http://www.lawhiskeysociety.com/whiskey-profile/3987/Laphroaig-Cairdeas-Madeira-Edition-2016,NAS yrs,Laphroaig,$85 ,B+,B
Limeburners M97,http://www.lawhiskeysociety.com/whiskey-profile/3862/Limeburners-M97,N/A,N/A,$120 ,B,B
Linkwood 1985 Signatory for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3780/Linkwood-1985-Signatory-for-K-and-L,29 yrs,Signatory,$200 ,B,B
Linkwood 1989 Whiskybroker,http://www.lawhiskeysociety.com/whiskey-profile/3638/Linkwood-1989-Whiskybroker,26 yrs,Whiskybroker Ltd.,$130 ,B-,C+
Linkwood 1995 Signatory Vintage Cask 5924,http://www.lawhiskeysociety.com/whiskey-profile/3442/Linkwood-1995-Signatory-Vintage-Cask-5924,19 yrs,Signatory,$70 ,B-,B-
Linlithgow 1982 Signatory CS (for LMDW),http://www.lawhiskeysociety.com/whiskey-profile/3357/Linlithgow-1982-Signatory-CS-(for-LMDW),25 yrs,Signatory,$200 ,B-,B-
Litchfield 8 Double Barrelled Bourbon,http://www.lawhiskeysociety.com/whiskey-profile/3708/Litchfield-8-Double-Barrelled-Bourbon,8 yrs,OB,$60 ,B+,B+
Littlemill 1988 Exclusive Malts (for K&L),http://www.lawhiskeysociety.com/whiskey-profile/3286/Littlemill-1988-Exclusive-Malts-(for-K-and-L),N/A,Creative Whisky Company,$140 ,C-,C-
Loch Lomond Peated,http://www.lawhiskeysociety.com/whiskey-profile/3412/Loch-Lomond-Peated,N/A,OB,$50 ,C+,B-
Lombard 8 Speyside,http://www.lawhiskeysociety.com/whiskey-profile/3725/Lombard-8-Speyside,8 yrs,Lombard,$50 ,C+,C+
Longmorn 1985 DL Platinum Old & Rare for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3786/Longmorn-1985--DL-Platinum-Old-and-Rare-for-K-and-L,29 yrs,Hunter Laing,$350 ,B,B
Longmorn 1992 Faultline (for K&L),http://www.lawhiskeysociety.com/whiskey-profile/3291/Longmorn-1992-Faultline-(for-K-and-L),21 yrs,Faultline,$115 ,C+,C
Longmorn 1996 DT Dimensions,http://www.lawhiskeysociety.com/whiskey-profile/3178/Longmorn-1996-DT-Dimensions,16 yrs,Duncan Taylor,$110 ,B-,B
Longrow 18 (white label),http://www.lawhiskeysociety.com/whiskey-profile/3829/Longrow-18-(white-label),18 yrs,OB,$180 ,B,B
Longrow 2001 Rundlets & Kilderkins,http://www.lawhiskeysociety.com/whiskey-profile/3578/Longrow-2001-Rundlets-and-Kilderkins,11 yrs,Rundlets & Kilderkins,$115 ,B,B
Macallan 1990 Speymalt,http://www.lawhiskeysociety.com/whiskey-profile/3736/Macallan-1990-Speymalt,12 yrs,Gordon & MacPhail,$65 ,C+,C+
Macallan 1993 Old Particular,http://www.lawhiskeysociety.com/whiskey-profile/3406/Macallan-1993-Old-Particular,21 yrs,Douglas Laing,$250 ,B+,B+
Macallan Fine Oak 21,http://www.lawhiskeysociety.com/whiskey-profile/3461/Macallan-Fine-Oak-21,21 yrs,Macallan,$480 ,B-,B-
Miltonduff 1982 Faultline (for k&l),http://www.lawhiskeysociety.com/whiskey-profile/3288/Miltonduff-1982-Faultline-(for-k-and-l),30 yrs,Faultline,$160 ,B,B
Miltonduff 1995 Hepburn's Choice,http://www.lawhiskeysociety.com/whiskey-profile/3409/Miltonduff-1995-Hepburns-Choice,19 yrs,Hunter Laing,$100 ,B-,C+
Monumental Blended Scotch Whisky,http://www.lawhiskeysociety.com/whiskey-profile/3802/Monumental-Blended-Scotch-Whisky,30 yrs,Alexander Murray,$130 ,B,B
Mortlach 14yr Battlehill,http://www.lawhiskeysociety.com/whiskey-profile/3295/Mortlach-14yr-Battlehill,14 yrs,Duncan Taylor,$60 ,C,C+
Mortlach 1987 Faultline (for k&l),http://www.lawhiskeysociety.com/whiskey-profile/3297/Mortlach-1987-Faultline-(for-k-and-l),25 yrs,Faultline,$140 ,B,B+
Mortlach 2007 Hepburn's Choice,http://www.lawhiskeysociety.com/whiskey-profile/3399/Mortlach-2007-Hepburns-Choice,7 yrs,Hunter Laing,$50 ,B-,B
Mortlach 27 Adelphi Cask #3211,http://www.lawhiskeysociety.com/whiskey-profile/3376/Mortlach-27-Adelphi-Cask-number3211,27 yrs,Adelphi,$170 ,B-,B
Mortlach Rare Old,http://www.lawhiskeysociety.com/whiskey-profile/3799/Mortlach-Rare-Old,N/A,OB,$50 ,C,C
Nikka Coffey Malt Whisky,http://www.lawhiskeysociety.com/whiskey-profile/3570/Nikka-Coffey-Malt-Whisky,NAS yrs,Nikka,$80 ,B,B+
North British 1964 Sovereign,http://www.lawhiskeysociety.com/whiskey-profile/3407/North-British-1964-Sovereign,50 yrs,Hunter Laing,$250 ,B,B-
North British 1989 Sovereign for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3779/North-British-1989-Sovereign-for-K-and-L,25 yrs,Sovereign,$110 ,B-,B
OId Blowhard,http://www.lawhiskeysociety.com/whiskey-profile/3281/OId-Blowhard,26 yrs,Diageo,$150 ,B,B+
Old Hokonui,http://www.lawhiskeysociety.com/whiskey-profile/3859/Old-Hokonui,N/A,OB,$16 ,D+,D+
Omar Cask Strength,http://www.lawhiskeysociety.com/whiskey-profile/4061/Omar-Cask-Strength,N/A,OB,$200 ,B,B
Paul John Classic Select Cask,http://www.lawhiskeysociety.com/whiskey-profile/3834/Paul-John-Classic-Select-Cask,N/A,OB,$78 ,B,B-
Peat's Beast,http://www.lawhiskeysociety.com/whiskey-profile/3831/Peats-Beast,N/A,Peat's Beast,$50 ,B,B
Port Dundas 18yr,http://www.lawhiskeysociety.com/whiskey-profile/4082/Port-Dundas-18yr,18 yrs,OB,$95 ,C+,C+
Port Dundas 1978 Sovereign,http://www.lawhiskeysociety.com/whiskey-profile/3405/Port-Dundas-1978-Sovereign,36 yrs,Hunter Laing,$150 ,B,A-
Rare Ayrshire 1975 Signatory CS for Binny's,http://www.lawhiskeysociety.com/whiskey-profile/3816/Rare-Ayrshire-1975-Signatory-CS-for-Binnys,37 yrs,Signatory,$350 ,B+,B+
Royal Brackla 13yr Battlehill,http://www.lawhiskeysociety.com/whiskey-profile/3533/Royal-Brackla-13yr-Battlehill,13 yrs,Duncan Taylor,$50 ,C+,C+
Royal Lochnagar 2002 Faultline (for K&L),http://www.lawhiskeysociety.com/whiskey-profile/3285/Royal-Lochnagar-2002-Faultline-(for-K-and-L),10 yrs,Faultline,$60 ,B-,B
Royal Lochnagar Distillers Edition,http://www.lawhiskeysociety.com/whiskey-profile/3333/Royal-Lochnagar-Distillers-Edition,N/A,OB,$100 ,B,B
Scapa 10 Gordon & MacPhail,http://www.lawhiskeysociety.com/whiskey-profile/3518/Scapa-10-Gordon-and-MacPhail,10 yrs,Gordon & MacPhail,$60 ,C,C-
Silver Coyote,http://www.lawhiskeysociety.com/whiskey-profile/3556/Silver-Coyote,N/A,OB,$30 ,D,C-
Smith's Angaston Whisky 14yr,http://www.lawhiskeysociety.com/whiskey-profile/3853/Smiths-Angaston-Whisky-14yr,14 yrs,OB,$150 ,B+,B+
Speyburn Braden Orach,http://www.lawhiskeysociety.com/whiskey-profile/3391/Speyburn-Braden-Orach,N/A,OB,$20 ,C+,C+
Spice Tree Extravaganza,http://www.lawhiskeysociety.com/whiskey-profile/3907/Spice-Tree-Extravaganza,N/A,Compass Box,$180 ,B,B
Springbank 12 Cask Strength,http://www.lawhiskeysociety.com/whiskey-profile/3828/Springbank-12-Cask-Strength,12 yrs,OB,$70 ,B,B
Springbank 1996 DL Platinum Old & Rare for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3785/Springbank-1996--DL-Platinum-Old-and-Rare-for-K-and-L,18 yrs,Hunter Laing,$300 ,B,B+
Springbank 19yr Bourbon Cask,http://www.lawhiskeysociety.com/whiskey-profile/3827/Springbank-19yr-Bourbon-Cask,19 yrs,OB,$300 ,B,B
Springbank 21 (2014 Release),http://www.lawhiskeysociety.com/whiskey-profile/3374/Springbank-21-(2014-Release),21 yrs,OB,$350 ,B-,C
Springbank 25,http://www.lawhiskeysociety.com/whiskey-profile/3826/Springbank-25,25 yrs,OB,$600 ,B,B
St. George (new bottle),http://www.lawhiskeysociety.com/whiskey-profile/3313/St-George-(new-bottle),N/A,OB,$55 ,C+,C+
Starward,http://www.lawhiskeysociety.com/whiskey-profile/3850/Starward,N/A,OB,$60 ,C,C
Sullivan's Cove French Oak - Batch 052A,http://www.lawhiskeysociety.com/whiskey-profile/3852/Sullivans-Cove-French-Oak---Batch-052A,12 yrs,OB,$175 ,B-,B-
Svenska Eldvatten 1994,http://www.lawhiskeysociety.com/whiskey-profile/3928/Svenska-Eldvatten-1994,19 yrs,Svenska Eldvatten,$70 ,B-,B-
Talisker 2009 Hepburn's Choice for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3784/Talisker-2009-Hepburns-Choice-for-K-and-L,5 yrs,Hepburn's Chocie,$50 ,C,C+
Talisker Skye,http://www.lawhiskeysociety.com/whiskey-profile/3473/Talisker-Skye,NAS yrs,N/A,$55 ,C+,B-
Tamdhu 1998 Old Particular,http://www.lawhiskeysociety.com/whiskey-profile/3402/Tamdhu-1998-Old-Particular,16 yrs,Douglas Laing,$100 ,B,B
Tasmanian Heartwood - Four Corners of Ross,http://www.lawhiskeysociety.com/whiskey-profile/3884/Tasmanian-Heartwood---Four-Corners-of-Ross,N/A,Tasmanian Heartwood,$350 ,A-,A-
The Big Smoke,http://www.lawhiskeysociety.com/whiskey-profile/3472/The-Big-Smoke,N/A,Duncan Taylor,$60 ,B+,B+
The Exclusive Blend 1980,http://www.lawhiskeysociety.com/whiskey-profile/4084/The-Exclusive-Blend-1980,35 yrs,Creative Whisky Co.,$180 ,B+,B+
The Gifted Horse,http://www.lawhiskeysociety.com/whiskey-profile/3882/The-Gifted-Horse,N/A,N/A,$50 ,B-,B-
The Six Isles,http://www.lawhiskeysociety.com/whiskey-profile/3739/The-Six-Isles,N/A,William Maxwell & Co.,$60 ,B,B
This is Not a Luxury Whisky,http://www.lawhiskeysociety.com/whiskey-profile/3704/This-is-Not-a-Luxury-Whisky,NAS yrs,Compass Box,$250 ,C+,C+
Thomson Two Tone,http://www.lawhiskeysociety.com/whiskey-profile/3851/Thomson-Two-Tone,N/A,OB,$45 ,C+,C+
Tobermory 1994 The Maltman,http://www.lawhiskeysociety.com/whiskey-profile/3735/Tobermory-1994-The-Maltman,16 yrs,Meadowside Blending Co.,$60 ,B-,B-
Tobermory 1996 Old Particular,http://www.lawhiskeysociety.com/whiskey-profile/3403/Tobermory-1996-Old-Particular,18 yrs,Douglas Laing,$110 ,B,B
Tobermory 2004 Smoky & Peaty Hepburn's Choice,http://www.lawhiskeysociety.com/whiskey-profile/3398/Tobermory-2004-Smoky-and-Peaty-Hepburns-Choice,8 yrs,Hunter Laing,$60 ,B,B+
Tomatin 1994 Blackadder Raw Cask,http://www.lawhiskeysociety.com/whiskey-profile/3657/Tomatin-1994-Blackadder-Raw-Cask,20 yrs,Blackadder,$130 ,B,B
Tomatin 30,http://www.lawhiskeysociety.com/whiskey-profile/3176/Tomatin-30,30 yrs,OB,$200 ,B+,B+
Tomatin Cu Bocan,http://www.lawhiskeysociety.com/whiskey-profile/3917/Tomatin-Cu-Bocan,N/A,OB,$55 ,B-,B-
Tomintoul 2001 Malts of Scotland,http://www.lawhiskeysociety.com/whiskey-profile/3185/Tomintoul-2001-Malts-of-Scotland,10 yrs,Malts of Scotland,$70 ,C,C
Trader Joe's Single Malt Irish Whiskey 8yr,http://www.lawhiskeysociety.com/whiskey-profile/3916/Trader-Joes-Single-Malt-Irish-Whiskey-8yr,8 yrs,Trader Joe's,$30 ,D+,D+
Tullibardine 1998 Sherry Wood Finish,http://www.lawhiskeysociety.com/whiskey-profile/3395/Tullibardine-1998-Sherry-Wood-Finish,N/A,OB,$70 ,B,B
Undisclosed Islay 2nd release,http://www.lawhiskeysociety.com/whiskey-profile/3650/Undisclosed-Islay-2nd-release,7 yrs,Single Cask Nation,$125 ,B-,B
Virginia Lightning Corn Whiskey,http://www.lawhiskeysociety.com/whiskey-profile/3266/Virginia-Lightning-Corn-Whiskey,N/A,Belmont Farms,$20 ,D,D
Waitui Manuka,http://www.lawhiskeysociety.com/whiskey-profile/3854/Waitui-Manuka,N/A,OB,$100 ,B,B
Wemyss Peat Chimney 8,http://www.lawhiskeysociety.com/whiskey-profile/3634/Wemyss-Peat-Chimney-8,8 yrs,Wemyss Malts,$50 ,B-,B-
Westland 2012 Single Cask Nation,http://www.lawhiskeysociety.com/whiskey-profile/3190/Westland-2012-Single-Cask-Nation,2 yrs,Single Cask Nation,$75 ,B,B+
Westland 2nd Release SCN,http://www.lawhiskeysociety.com/whiskey-profile/3674/Westland-2nd-Release-SCN,3 yrs,Single Cask Nation,$85 ,C+,C+
Westland Garryana,http://www.lawhiskeysociety.com/whiskey-profile/3934/Westland-Garryana,N/A,OB,$125 ,B+,B
Westland Peated 3rd Release,http://www.lawhiskeysociety.com/whiskey-profile/3191/Westland-Peated-3rd-Release,2 yrs,OB,$65 ,C+,B
White Oak Akashi,http://www.lawhiskeysociety.com/whiskey-profile/3253/White-Oak-Akashi,N/A,N/A,$35 ,C+,C+
White Oak Akashi Single Malt,http://www.lawhiskeysociety.com/whiskey-profile/3359/White-Oak-Akashi-Single-Malt,N/A,N/A,$75 ,B,B
Wild Turkey Master's Keep,http://www.lawhiskeysociety.com/whiskey-profile/3727/Wild-Turkey-Masters-Keep,17 yrs,Wild Turkey,$135 ,C,C
Willett Family Estate 25yr Barrel #2876,http://www.lawhiskeysociety.com/whiskey-profile/3790/Willett-Family-Estate-25yr-Barrel-number2876--,25 yrs,OB,$500 ,A-,A-
